ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688478.SH,20230424,40.0,49.81,40.0,42.5,32.52,9.98,30.6888,231053.18,1000297.782
688478.SH,20230425,43.77,49.9,43.77,46.56,42.5,4.06,9.5529,172595.38,794253.406
688478.SH,20230426,44.49,49.46,42.89,47.43,46.56,0.87,1.8686,140586.62,644533.841
688478.SH,20230427,46.92,58.28,46.92,57.01,47.43,9.58,20.1982,154554.12,839404.708
688478.SH,20230428,57.28,62.88,53.16,55.71,57.01,-1.3,-2.2803,124739.03,717280.145
688478.SH,20230504,56.0,57.47,53.26,56.0,55.71,0.29,0.5206,89688.97,496856.388
688478.SH,20230505,54.65,55.0,44.8,44.8,56.0,-11.2,-20.0,130704.56,619474.933
688478.SH,20230508,43.08,45.27,42.18,44.8,44.8,0.0,0.0,61106.45,267711.933
688478.SH,20230509,44.2,45.87,43.05,43.2,44.8,-1.6,-3.5714,44768.76,197293.346
688478.SH,20230510,43.0,44.33,41.75,43.35,43.2,0.15,0.3472,38796.8,167820.534
688478.SH,20230511,43.77,44.6,42.6,44.32,43.35,0.97,2.2376,34826.65,151752.074
688478.SH,20230512,45.9,47.84,43.88,44.24,44.32,-0.08,-0.1805,53027.72,244030.311
688478.SH,20230515,42.9,44.29,41.0,43.76,44.24,-0.48,-1.085,38540.36,164482.912
688478.SH,20230516,43.14,49.39,42.2,47.55,43.76,3.79,8.6609,71571.88,331496.002
688478.SH,20230517,46.5,48.3,45.5,46.71,47.55,-0.84,-1.7666,55055.76,257954.788
688478.SH,20230518,46.1,46.59,43.21,44.8,46.71,-1.91,-4.0891,58018.09,258650.313
688478.SH,20230519,44.79,47.0,44.31,45.7,44.8,0.9,2.0089,55236.25,253695.421
688478.SH,20230522,45.06,46.22,43.5,44.45,45.7,-1.25,-2.7352,40462.75,180604.41
688478.SH,20230523,44.3,44.3,41.99,42.0,44.45,-2.45,-5.5118,38303.24,163770.077
688478.SH,20230524,41.66,44.76,41.59,44.23,42.0,2.23,5.3095,50109.08,217208.042
688478.SH,20230525,43.56,45.77,43.5,45.28,44.23,1.05,2.374,43214.83,192192.541
688478.SH,20230526,45.3,46.4,44.2,45.39,45.28,0.11,0.2429,38417.8,174560.019
688478.SH,20230529,46.45,48.3,43.98,47.03,45.39,1.64,3.6131,56240.6,260833.519
688478.SH,20230530,46.45,47.16,44.8,45.21,47.03,-1.82,-3.8699,44287.95,203038.828
688478.SH,20230531,45.9,49.92,45.56,49.2,45.21,3.99,8.8255,83741.85,402750.941
688478.SH,20230601,52.0,59.04,52.0,55.2,49.2,6.0,12.1951,118038.35,660959.368
688478.SH,20230602,56.54,59.9,53.51,55.22,55.2,0.02,0.0362,85999.49,484170.689
688478.SH,20230605,54.58,57.13,53.57,54.62,55.22,-0.6,-1.0866,50192.12,276410.627
688478.SH,20230606,54.17,55.88,51.5,51.76,54.62,-2.86,-5.2362,56700.82,301526.167
688478.SH,20230607,51.0,57.4,51.0,56.0,51.76,4.24,8.1917,66002.71,360034.387
688478.SH,20230608,55.91,56.8,51.9,53.41,56.0,-2.59,-4.625,71687.57,386440.497
688478.SH,20230609,53.2,53.67,49.6,50.92,53.41,-2.49,-4.662,65014.05,332593.05
688478.SH,20230612,50.12,51.45,49.28,49.48,50.92,-1.44,-2.828,37207.4,186515.838
688478.SH,20230613,49.91,50.47,48.81,50.34,49.48,0.86,1.7381,38672.26,192612.857
688478.SH,20230614,49.85,50.35,48.07,49.4,50.34,-0.94,-1.8673,49258.91,241314.225
688478.SH,20230615,49.42,49.42,47.1,47.25,49.4,-2.15,-4.3522,40852.51,196117.211
688478.SH,20230616,47.74,49.74,46.82,49.04,47.25,1.79,3.7884,41009.65,199157.72
688478.SH,20230619,48.75,50.24,48.0,48.9,49.04,-0.14,-0.2855,37944.66,186341.056
688478.SH,20230620,49.0,49.32,47.99,48.69,48.9,-0.21,-0.4294,28819.56,140239.138
688478.SH,20230621,48.5,49.49,45.11,46.25,48.69,-2.44,-5.0113,27959.73,131666.446
688478.SH,20230626,45.5,47.56,45.18,46.33,46.25,0.08,0.173,17282.05,80653.891
688478.SH,20230627,46.84,47.28,45.64,46.3,46.33,-0.03,-0.0648,22030.06,102188.171
688478.SH,20230628,46.0,47.82,44.0,46.54,46.3,0.24,0.5184,31706.83,146501.082
688478.SH,20230629,46.0,47.28,45.9,46.07,46.54,-0.47,-1.0099,19716.03,91654.228
688478.SH,20230630,45.67,48.09,45.03,47.51,46.07,1.44,3.1257,26840.91,126096.324
688478.SH,20230703,47.69,49.49,47.01,47.14,47.51,-0.37,-0.7788,25687.32,122843.446
